LOCATION,PRICE(PHP),BATH,BEDROOM,STATUS,FLOOR SQFT/SQM,KITCHEN,BALCONY,LINK,DESCRIPTION,HALL,PROPERTY TYPE
"Upper McKinley Rd, 1634 Taguig City, Philippines McKinley Hill, Taguig","24,000,000",3,2,AVAILABLE ,1104.377SQFT,1,1,https://www.lamudi.com.ph/s/675bf4a88ae3f,Rent to own 2 Bedroom Condo for sale in St. Mark Residences McKinley Hill,1,HOUSE
"Upper McKinley Rd, 1634 Taguig City, Philippines McKinley Hill, Taguig","15,450,000",1,1,AVAILABLE ,714.7237sqft,1,1,https://www.lamudi.com.ph/s/675bf0bf61ab7,For Sale 1 Bedroom Rent to Own Condo in St. Mark Residences McKinley Hill,1,CONDO
"San Isidro, Parañaque","9,300,000",5,4,AVAILABLE ,150.5 sqm,1,3,https://www.lamudi.com.ph/s/673aa0e0ac5d4,3 Bedrooms Brand New Townhouses in UPS5 Sucat Paranaque,1,TOWNHOUSE
"Basak, Lapu-Lapu City, Central Visayas, Philippines Basak, Lapu-Lapu","19,990,000",4,5,AVAILABLE ,5166.68 sqft,1,2,https://www.lamudi.com.ph/s/6756521612f20,"5 Bedroom House and Lot For Sale in Basak, Lapu-Lapu City, Cebu, Philippines",1,LOT
"ACACIA ESTATES TAGUIG Ususan, Taguig","180,000,000",6,6,AVAILABLE ,1480 sqm,1,2,https://www.lamudi.com.ph/s/673447474bee9,"House and Lot For Sale: Located in Mahogany Place 3, Acacia Estates, Taguig, this 600 sqm property with a 1,480 sqm floor area is 10-15 minutes from BGC and 15-20 minutes from the airport. It features a gym, pool, lanai, multiple bedrooms, an office, and a roof deck. Contact us for details!",1,HOUSE
"Sta Rosa Heights, along Sta Rosa-Tagaytay Expressway, Silang, Cavite Puting Kahoy, Silang","4,800,000",1,2,AVAILABLE ,645.835 sqft,1,0,https://www.lamudi.com.ph/s/65ee8d5ad8894,"Claim Your Hilltop Home Now!
Live in Sta. Rosa Heights, a peaceful, flood-free gated community with fresh air, wide roads, nearby schools, and easy access to beaches, golf courses, and malls. Enjoy 24/7 security and reliable utilities.
Move in today!",1,HOUSE
"Talon Dos, Las Piñas, National Capital Region, Philippines Talon Dos, Las Piñas","15,000,000",4,4,AVAILABLE ,217 sqm,1,0,https://www.lamudi.com.ph/s/66ecc6fa956c9,4 BR with T&B Newly Constructed Near NAIA House & Lot for Sale in Las Piñas City,1,DUPLEX
"Santa Cruz, Antipolo","135,000,000",4,5,AVAILABLE ,2000 sqm,1,2,https://www.lamudi.com.ph/s/663b4ce06bee2,"*Claim Your Hilltop Home Now!* Enjoy peaceful, flood-free living in Sta. Rosa Heights, an 80-hectare gated community with fresh mountain air, wide roads, and nearby schools. Conveniently close to Batangas beaches, golf courses, malls, and spas, it offers 24/7 security, reliable utilities, and a healthy, tranquil lifestyle. Move in today!
",1,HILLTOP HOUSE
"Busay, Cebu","120,000,000",9,5,AVAILABLE ,1458 sqm,1,2,https://www.lamudi.com.ph/s/659e57d70bb93,Indulge in Unmatched Luxury - Your Exquisite Overlooking House and Lot in Cebu City Awaits!,1,VILLA
"Nasipit, Cebu City, Central Visayas, Philippines Talamban, Cebu","77,480,000",3,3,AVAILABLE ,750 sqm,1,1,https://www.lamudi.com.ph/s/65618c6a115da,"This spacious 750 sqm home on a 561 sqm lot offers 3 bedrooms, a modern kitchen, multiple living areas, and a 3-car garage. Now priced at P77.5M (down from P85M), it comes fully furnished with a swimming pool, outdoor gym, and additional amenities. Don’t miss out—make an offer today!",2,HOUSE
"Tandang Sora, Quezon City","25,000,000",3,7,AVAILABLE ,800 sqm,1,1,https://www.lamudi.com.ph/s/652ce51b1e2bc,"*If you want to know the fair market value of your property, we do appraisal services, valuation, and consultancy within 5-7 days.",1,APARTMENT
"Pajac, Lapu-Lapu","50,000,000",10,10,AVAILABLE ,1000 sqm,1,1,https://www.lamudi.com.ph/s/66a5ab2b1892b,"COMMUNITY FACILITIES AND UTILITIES:
Electric power,water supply,and telecommunication facilities are
available at the site and its neighborhood.Buses,jeepneys,and taxis are the
major modes of public transportation that connects from the location of the
subject property to different parts of Lapu-Lapu and its neighboring cities and
municipalities. Community facilities and utilities are maintained by the city
government and chartered private entities.",1,HOUSE
Parañaque,"29,500,000",3,4,AVAILABLE ,350 sqm,1,1,https://www.lamudi.com.ph/s/675bcae45cb76,"This brand-new 4-bedroom, 3-bathroom residential house in Greenheights Village, Parañaque offers a spacious 300 sqm lot and 350 sqm of floor area. Featuring a master’s bedroom en-suite, modular kitchen cabinets, split-type air conditioners, and a garden, this home provides both comfort and style. It also includes 2 parking slots and is priced at ₱29,500,000. Payment options are available, with an estimated monthly amortization starting at ₱211,404 for 15 years.",2,HOUSE
"Ayala Alabang, Muntinlupa","135,000,000",2,3,AVAILABLE ,425 sqm,1,0,https://www.lamudi.com.ph/s/672b071ed4b97,"Brand New House and Lot For Sale in Ayala Alabang Village, Muntinlupa City

The property a Bungalow house is perfect for Senior’s citizens or newlywed. This house is more manageable not too big and easy to maintain. But your still in one in a Private Luxurious Village in the South of Metro Manila. It comes with a Den or Office, a swimming pool, a garden, and a separate maids & driver’s room.",1,HOUSE
"Amsic, Angeles(pampanga city)","13,500,000",5,10,AVAILABLE ,410 sqm,1,5,https://www.lamudi.com.ph/s/652cf5aea3e42,"5 Door Apartment for Sale in Angeles City, Pampanaga near Marquee mall",1,APARTMENT
"Ayala Westgrove Heights Inchican 4118 Silang Cavite Puting Kahoy, Silang","120,000,000",6,5,AVAILABLE ,650 sqm,1,1,https://www.lamudi.com.ph/s/674d6d6af28c7,"DISTINCT FEATURE:
Highest point along Tamarillo Dr.
Panoramic view of greens, Makati skyline, Laguna de Bay, & Mt. Makiling
Has 5 meters easement at the left side and also 5 meters easement at the back of the property.
En-suite primary bathroom with infinity pool
With built-in appliances CCTV",3,HOUSE
"Guadalupe, Cebu City, Central Visayas, Philippines Guadalupe, Cebu","189,990,000",5,5,AVAILABLE ,812 sqm,1,1,https://www.lamudi.com.ph/s/66ae2b98cb8aa,"5 Bedroom Overlooking Brand New House and Lot For Sale in Guadalupe, Cebu City",1,HOUSE
"B.F Homes, Paranaque City B.F. Homes, Parañaque","36,500,000",4,4,AVAILABLE ,380 sqm,1,1,https://www.lamudi.com.ph/s/675d31229e511,For Sale: 4BR House and Lot in BF Homes Paranaque,2,HOUSE
"Palangoy, Binangonan","5,261,000",2,3,AVAILABLE ,70 sqm,1,1,https://www.lamudi.com.ph/s/675bd65c04e91,"Eastridge Golf Villas is a premier 15-hectare residential development brought to life by Loremar Realty and Development Corporation. This highly respected developer, known for its exceptional projects like the Loremar Farm Resort in Antipolo, has designed Eastridge Golf Villas to offer residents an elevated living experience that combines nature's tranquility and modern living's comforts.",1,HOUSE
"Punta I, Tanza","3,988,000",2,4,AVAILABLE ,54 sqm,1,1,https://www.lamudi.com.ph/s/6743f158190d4,"Tanza Garden Enclave is a serene residential community located in the heart of Tanza, Cavite. This master-planned development offers modern house-and-lot units, providing a perfect blend of comfort, style, and functionality. Designed for families and individuals looking for a peaceful and secure living environment, Tanza Garden Enclave is the ideal place to create cherished memories and build a future.",1,HOUSE
